,0,1,2,3
masculinity T134,0.0,1.0,0.0,0.0
masculinity T135,0.276,0.724,0.0,0.6369
masculinity T136,0.232,0.768,0.0,0.6187
masculinity T137,0.0,0.462,0.538,-0.5423
masculinity T138,0.383,0.617,0.0,0.4767
masculinity T139,0.081,0.919,0.0,0.1477
masculinity T140,0.224,0.632,0.144,0.1027
masculinity T141,0.0,1.0,0.0,0.0
masculinity T142,0.0,1.0,0.0,0.0
masculinity T143,0.161,0.839,0.0,0.3612
masculinity T144,0.0,1.0,0.0,0.0
masculinity T145,0.299,0.701,0.0,0.7399
masculinity T146,0.0,1.0,0.0,0.0
masculinity T147,0.223,0.777,0.0,0.3182
masculinity T148,0.382,0.618,0.0,0.8948
masculinity T149,0.107,0.893,0.0,0.2023
masculinity T150,0.0,0.494,0.506,-0.6249
masculinity T151,0.0,1.0,0.0,0.0
masculinity T152,0.0,1.0,0.0,0.0
masculinity T153,0.135,0.865,0.0,0.3612
masculinity T154,0.135,0.865,0.0,0.3612
masculinity T155,0.0,0.695,0.305,-0.6908
masculinity T156,0.0,0.571,0.429,-0.8176
masculinity T157,0.16,0.641,0.199,-0.1531
masculinity T158,0.259,0.476,0.265,-0.0258
masculinity T159,0.138,0.474,0.388,-0.742
masculinity T160,0.128,0.601,0.271,-0.5152
masculinity T161,0.384,0.616,0.0,0.7964
masculinity T162,0.0,0.674,0.326,-0.7003
masculinity T163,0.0,0.891,0.109,-0.296
masculinity T164,0.116,0.884,0.0,0.2732
masculinity T165,0.0,0.518,0.482,-0.4199
masculinity T166,0.0,0.591,0.409,-0.8402
masculinity T167,0.062,0.762,0.176,-0.5267
masculinity T168,0.0,0.837,0.163,-0.5719
masculinity T169,0.0,1.0,0.0,0.0
masculinity T170,0.282,0.513,0.205,0.2263
masculinity T171,0.0,1.0,0.0,0.0
masculinity T172,0.088,0.68,0.232,-0.5599
masculinity T173,0.064,0.792,0.143,-0.4767
masculinity T174,0.176,0.824,0.0,0.5994
masculinity T175,0.134,0.699,0.167,-0.1531
masculinity T176,0.419,0.581,0.0,0.9186
masculinity T177,0.0,1.0,0.0,0.0
masculinity T178,0.071,0.929,0.0,0.0772
masculinity T179,0.0,0.562,0.438,-0.8788
masculinity T180,0.0,0.0,0.0,0.0
masculinity T181,0.0,0.795,0.205,-0.4754
masculinity T182,0.0,1.0,0.0,0.0
masculinity T183,0.0,1.0,0.0,0.0
masculinity T184,0.225,0.775,0.0,0.4927
masculinity T185,0.194,0.806,0.0,0.5574
masculinity T186,0.147,0.714,0.139,0.0516
masculinity T187,0.385,0.615,0.0,0.3612
masculinity T188,0.104,0.743,0.153,-0.25
masculinity T189,0.0,1.0,0.0,0.0
masculinity T190,0.277,0.62,0.103,0.4939
masculinity T191,0.158,0.842,0.0,0.4588
masculinity T192,0.0,1.0,0.0,0.0
masculinity T193,0.0,1.0,0.0,0.0
masculinity T194,0.088,0.841,0.071,0.1007
masculinity T195,0.0,1.0,0.0,0.0
masculinity T196,0.174,0.596,0.23,-0.0772
masculinity T197,0.124,0.574,0.302,-0.7845
masculinity T198,0.0,1.0,0.0,0.0
masculinity T199,0.0,0.549,0.451,-0.6249
masculinity T200,0.125,0.875,0.0,0.25
masculinity T201,0.0,0.606,0.394,-0.3818
masculinity T202,0.0,1.0,0.0,0.0
masculinity T203,0.172,0.828,0.0,0.4019
masculinity T204,0.0,1.0,0.0,0.0
masculinity T205,0.0,0.507,0.493,-0.9274
masculinity T206,0.0,0.808,0.192,-0.4215
masculinity T207,0.178,0.579,0.244,-0.3818
masculinity T208,0.183,0.576,0.241,-0.3818
masculinity T209,0.0,1.0,0.0,0.0
masculinity T210,0.0,1.0,0.0,0.0
masculinity T211,0.0,0.871,0.129,-0.4767
masculinity T212,0.296,0.704,0.0,0.7096
masculinity T213,0.11,0.89,0.0,0.2732
masculinity T214,0.078,0.819,0.104,-0.1613
masculinity T215,0.0,0.848,0.152,-0.3612
masculinity T216,0.0,1.0,0.0,0.0
masculinity T217,0.145,0.676,0.179,-0.1779
masculinity T218,0.298,0.591,0.111,0.7184
masculinity T219,0.0,0.625,0.375,-0.8625
masculinity T220,0.0,1.0,0.0,0.0
masculinity T221,0.135,0.496,0.369,-0.765
masculinity T222,0.0,1.0,0.0,0.0
masculinity T223,0.103,0.897,0.0,0.3182
masculinity T224,0.0,1.0,0.0,0.0
masculinity T225,0.0,0.645,0.355,-0.5106
masculinity T226,0.0,1.0,0.0,0.0
masculinity T227,0.0,1.0,0.0,0.0
masculinity T228,0.17,0.745,0.085,0.34
masculinity T229,0.0,1.0,0.0,0.0
masculinity T230,0.21,0.665,0.125,0.4224
masculinity T231,0.328,0.672,0.0,0.8519
masculinity T232,0.136,0.864,0.0,0.296
masculinity T233,0.0,1.0,0.0,0.0
masculinity T234,0.149,0.851,0.0,0.4215
masculinity T235,0.196,0.804,0.0,0.658
masculinity T236,0.104,0.896,0.0,0.2732
masculinity T237,0.0,1.0,0.0,0.0
masculinity T238,0.0,0.951,0.049,-0.0191
masculinity T239,0.128,0.872,0.0,0.3612
masculinity T240,0.0,0.889,0.111,-0.25
masculinity T241,0.0,0.78,0.22,-0.4767
masculinity T242,0.0,0.734,0.266,-0.7003
masculinity T243,0.0,0.661,0.339,-0.7717
masculinity T244,0.105,0.628,0.268,-0.5994
masculinity T245,0.0,0.707,0.293,-0.7003
masculinity T246,0.45,0.46,0.09,0.8333
masculinity T247,0.0,0.78,0.22,-0.5423
masculinity T248,0.0,0.655,0.345,-0.7003
Masculinity T1,0.344,0.656,0.0,0.7506
Masculinity T2,0.0,1.0,0.0,0.0
Masculinity T3,0.221,0.531,0.248,-0.0772
Masculinity T4,0.0,1.0,0.0,0.0
