,trial,Pos.,Neu.,Neg.,Summary
122,masculinity T123,0.171,0.708,0.121,0.296
123,masculinity T124,0.0,0.255,0.745,-0.9136
124,masculinity T125,0.1,0.9,0.0,0.2732
125,masculinity T126,0.0,0.674,0.326,-0.4404
126,masculinity T127,0.0,0.759,0.241,-0.3612
127,masculinity T128,0.0,1.0,0.0,0.0
128,masculinity T129,0.098,0.592,0.311,-0.5574
129,masculinity T130,0.287,0.625,0.088,0.6997
130,masculinity T131,0.07,0.791,0.14,-0.3612
131,masculinity T132,0.2,0.8,0.0,0.3612
132,masculinity T133,0.073,0.927,0.0,0.0258
133,masculinity T134,0.0,1.0,0.0,0.0
134,masculinity T135,0.0,1.0,0.0,0.0
135,masculinity T136,0.0,0.643,0.357,-0.6766
136,masculinity T137,0.0,1.0,0.0,0.0
137,masculinity T138,0.161,0.839,0.0,0.3612
138,masculinity T139,0.0,1.0,0.0,0.0
139,masculinity T140,0.0,1.0,0.0,0.0
140,masculinity T141,0.276,0.724,0.0,0.6369
141,masculinity T142,0.232,0.768,0.0,0.6187
142,masculinity T143,0.0,0.462,0.538,-0.5423
143,masculinity T144,0.383,0.617,0.0,0.4767
144,masculinity T145,0.081,0.919,0.0,0.1477
145,masculinity T146,0.224,0.632,0.144,0.1027
146,masculinity T147,0.0,1.0,0.0,0.0
147,masculinity T148,0.0,1.0,0.0,0.0
148,masculinity T149,0.161,0.839,0.0,0.3612
149,masculinity T150,0.0,1.0,0.0,0.0
150,masculinity T151,0.299,0.701,0.0,0.7399
151,masculinity T152,0.0,1.0,0.0,0.0
152,masculinity T153,0.223,0.777,0.0,0.3182
153,masculinity T154,0.382,0.618,0.0,0.8948
154,masculinity T155,0.107,0.893,0.0,0.2023
155,masculinity T156,0.0,0.494,0.506,-0.6249
156,masculinity T157,0.0,1.0,0.0,0.0
157,masculinity T158,0.0,1.0,0.0,0.0
158,masculinity T159,0.135,0.865,0.0,0.3612
159,masculinity T160,0.135,0.865,0.0,0.3612
160,masculinity T161,0.0,0.695,0.305,-0.6908
161,masculinity T162,0.0,0.571,0.429,-0.8176
162,masculinity T163,0.16,0.641,0.199,-0.1531
163,masculinity T164,0.259,0.476,0.265,-0.0258
164,masculinity T165,0.138,0.474,0.388,-0.742
165,masculinity T166,0.128,0.601,0.271,-0.5152
166,masculinity T167,0.384,0.616,0.0,0.7964
167,masculinity T168,0.0,0.674,0.326,-0.7003
168,masculinity T169,0.0,0.891,0.109,-0.296
169,masculinity T170,0.116,0.884,0.0,0.2732
170,masculinity T171,0.0,0.518,0.482,-0.4199
171,masculinity T172,0.0,0.591,0.409,-0.8402
172,masculinity T173,0.062,0.762,0.176,-0.5267
173,masculinity T174,0.0,0.837,0.163,-0.5719
174,masculinity T175,0.0,1.0,0.0,0.0
175,masculinity T176,0.282,0.513,0.205,0.2263
176,masculinity T177,0.0,1.0,0.0,0.0
177,masculinity T178,0.088,0.68,0.232,-0.5599
178,masculinity T179,0.064,0.792,0.143,-0.4767
179,masculinity T180,0.176,0.824,0.0,0.5994
180,masculinity T181,0.134,0.699,0.167,-0.1531
181,masculinity T182,0.419,0.581,0.0,0.9186
182,masculinity T183,0.0,1.0,0.0,0.0
183,masculinity T184,0.071,0.929,0.0,0.0772
184,masculinity T185,0.0,0.562,0.438,-0.8788
185,masculinity T186,0.0,0.0,0.0,0.0
186,masculinity T187,0.0,0.795,0.205,-0.4754
187,masculinity T188,0.0,1.0,0.0,0.0
188,masculinity T189,0.0,1.0,0.0,0.0
189,masculinity T190,0.225,0.775,0.0,0.4927
190,masculinity T191,0.194,0.806,0.0,0.5574
191,masculinity T192,0.147,0.714,0.139,0.0516
192,masculinity T193,0.385,0.615,0.0,0.3612
193,masculinity T194,0.104,0.743,0.153,-0.25
194,masculinity T195,0.0,1.0,0.0,0.0
195,masculinity T196,0.277,0.62,0.103,0.4939
196,masculinity T197,0.158,0.842,0.0,0.4588
197,masculinity T198,0.0,1.0,0.0,0.0
198,masculinity T199,0.0,1.0,0.0,0.0
199,masculinity T200,0.088,0.841,0.071,0.1007
200,masculinity T201,0.0,1.0,0.0,0.0
201,masculinity T202,0.174,0.596,0.23,-0.0772
202,masculinity T203,0.124,0.574,0.302,-0.7845
203,masculinity T204,0.0,1.0,0.0,0.0
204,masculinity T205,0.0,0.549,0.451,-0.6249
205,masculinity T206,0.125,0.875,0.0,0.25
206,masculinity T207,0.0,0.606,0.394,-0.3818
207,masculinity T208,0.0,1.0,0.0,0.0
208,masculinity T209,0.172,0.828,0.0,0.4019
209,masculinity T210,0.0,1.0,0.0,0.0
210,masculinity T211,0.0,0.507,0.493,-0.9274
211,masculinity T212,0.0,0.808,0.192,-0.4215
212,masculinity T213,0.178,0.579,0.244,-0.3818
213,masculinity T214,0.183,0.576,0.241,-0.3818
214,masculinity T215,0.0,1.0,0.0,0.0
215,masculinity T216,0.0,1.0,0.0,0.0
216,masculinity T217,0.0,0.871,0.129,-0.4767
217,masculinity T218,0.296,0.704,0.0,0.7096
218,masculinity T219,0.11,0.89,0.0,0.2732
219,masculinity T220,0.078,0.819,0.104,-0.1613
220,masculinity T221,0.0,0.848,0.152,-0.3612
221,masculinity T222,0.0,1.0,0.0,0.0
222,masculinity T223,0.145,0.676,0.179,-0.1779
223,masculinity T224,0.298,0.591,0.111,0.7184
224,masculinity T225,0.0,0.625,0.375,-0.8625
225,masculinity T226,0.0,1.0,0.0,0.0
226,masculinity T227,0.135,0.496,0.369,-0.765
227,masculinity T228,0.0,1.0,0.0,0.0
228,masculinity T229,0.103,0.897,0.0,0.3182
229,masculinity T230,0.0,1.0,0.0,0.0
230,masculinity T231,0.0,0.645,0.355,-0.5106
231,masculinity T232,0.0,1.0,0.0,0.0
232,masculinity T233,0.0,1.0,0.0,0.0
233,masculinity T234,0.17,0.745,0.085,0.34
234,masculinity T235,0.0,1.0,0.0,0.0
235,masculinity T236,0.21,0.665,0.125,0.4224
236,masculinity T237,0.328,0.672,0.0,0.8519
237,masculinity T238,0.136,0.864,0.0,0.296
238,masculinity T239,0.0,1.0,0.0,0.0
239,masculinity T240,0.149,0.851,0.0,0.4215
240,masculinity T241,0.196,0.804,0.0,0.658
241,masculinity T242,0.104,0.896,0.0,0.2732
242,masculinity T243,0.0,1.0,0.0,0.0
243,masculinity T244,0.0,0.951,0.049,-0.0191
244,masculinity T245,0.128,0.872,0.0,0.3612
245,masculinity T246,0.0,0.889,0.111,-0.25
246,masculinity T247,0.0,0.78,0.22,-0.4767
247,masculinity T248,0.0,0.734,0.266,-0.7003
248,Masculinity T1,0.427,0.573,0.0,0.8807
249,Masculinity T2,0.0,1.0,0.0,0.0
250,Masculinity T3,0.0,1.0,0.0,0.0
251,Masculinity T4,0.0,1.0,0.0,0.0
252,Masculinity T5,0.0,1.0,0.0,0.0
253,Masculinity T6,0.0,1.0,0.0,0.0
