trial,Pos.,Neu.,Neg.,Summary
men T1,0.222,0.617,0.16,0.128
men T2,0.241,0.759,0.0,0.4215
men T3,0.0,1.0,0.0,0.0
men T4,0.0,1.0,0.0,0.0
men T5,0.0,1.0,0.0,0.0
men T6,0.0,1.0,0.0,0.0
men T7,0.0,1.0,0.0,0.0
men T8,0.0,1.0,0.0,0.0
men T9,0.0,0.82,0.18,-0.296
men T10,0.0,0.222,0.778,-0.5423
men T11,0.649,0.351,0.0,0.7506
men T12,0.0,1.0,0.0,0.0
men T13,0.322,0.678,0.0,0.2263
men T14,0.052,0.837,0.112,-0.3612
men T15,0.0,1.0,0.0,0.0
men T16,0.073,0.55,0.377,-0.8728
men T17,0.0,0.711,0.289,-0.7845
men T18,0.386,0.526,0.088,0.8176
men T19,0.219,0.781,0.0,0.6369
men T20,0.336,0.664,0.0,0.8221
men T21,0.0,1.0,0.0,0.0
men T22,0.105,0.802,0.093,0.0772
men T23,0.0,1.0,0.0,0.0
men T24,0.0,1.0,0.0,0.0
men T25,0.771,0.229,0.0,0.7739
men T26,0.167,0.833,0.0,0.4215
men T27,0.0,1.0,0.0,0.0
men T28,0.0,0.659,0.341,-0.4767
men T29,0.0,1.0,0.0,0.0
men T30,0.42,0.58,0.0,0.4404
men T31,0.226,0.557,0.216,0.0387
men T32,0.199,0.461,0.34,-0.4588
men T33,0.103,0.897,0.0,0.1531
men T34,0.0,1.0,0.0,0.0
men T35,0.309,0.691,0.0,0.873
men T36,0.0,1.0,0.0,0.0
men T37,0.0,1.0,0.0,0.0
men T38,0.0,0.864,0.136,-0.296
men T39,0.145,0.643,0.212,-0.2598
men T40,0.0,1.0,0.0,0.0
men T41,0.0,1.0,0.0,0.0
men T42,0.385,0.615,0.0,0.3612
men T43,0.0,1.0,0.0,0.0
men T44,0.101,0.899,0.0,0.3774
men T45,0.114,0.616,0.27,-0.6506
men T46,0.0,0.667,0.333,-0.5423
men T47,0.426,0.574,0.0,0.836
men T48,0.0,1.0,0.0,0.0
men T49,0.26,0.541,0.198,-0.0214
men T50,0.0,1.0,0.0,0.0
men T51,0.0,1.0,0.0,0.0
men T52,0.0,1.0,0.0,0.0
men T53,0.255,0.745,0.0,0.7579
men T54,0.08,0.92,0.0,0.0772
men T55,0.0,0.559,0.441,-0.6933
men T56,0.0,1.0,0.0,0.0
men T57,0.139,0.667,0.194,-0.25
men T58,0.0,0.728,0.272,-0.8164
men T59,0.16,0.84,0.0,0.2732
men T60,0.275,0.725,0.0,0.5719
men T61,0.412,0.588,0.0,0.5994
men T62,0.0,1.0,0.0,0.0
men T63,0.453,0.547,0.0,0.8953
men T64,0.0,0.714,0.286,-0.5584
men T65,0.0,1.0,0.0,0.0
men T66,0.262,0.738,0.0,0.7506
men T67,0.178,0.822,0.0,0.0772
men T68,0.0,0.707,0.293,-0.6584
men T69,0.185,0.639,0.176,0.0772
men T70,0.455,0.545,0.0,0.3612
men T71,0.0,0.654,0.346,-0.5719
men T72,0.304,0.696,0.0,0.7291
men T73,0.064,0.936,0.0,0.0572
men T74,0.11,0.621,0.269,-0.5927
men T75,0.135,0.865,0.0,0.4215
men T76,0.2,0.8,0.0,0.5777
men T77,0.0,1.0,0.0,0.0
men T78,0.178,0.822,0.0,0.0772
men T79,0.0,1.0,0.0,0.0
men T80,0.0,1.0,0.0,0.0
men T81,0.0,1.0,0.0,0.0
men T82,0.0,1.0,0.0,0.0
men T83,0.0,1.0,0.0,0.0
men T84,0.176,0.706,0.118,0.0862
men T85,0.085,0.813,0.102,-0.1027
men T86,0.16,0.84,0.0,0.2716
men T87,0.0,0.756,0.244,-0.4939
men T88,0.299,0.701,0.0,0.7506
men T89,0.0,0.879,0.121,-0.296
men T90,0.0,1.0,0.0,0.0
men T91,0.108,0.594,0.297,-0.7506
men T92,0.0,1.0,0.0,0.0
men T93,0.0,0.896,0.104,-0.296
men T94,0.149,0.851,0.0,0.4199
men T95,0.42,0.58,0.0,0.8902
men T96,0.0,0.836,0.164,-0.6269
men T97,0.0,0.806,0.194,-0.5574
men T98,0.0,1.0,0.0,0.0
men T99,0.135,0.776,0.09,0.2732
men T100,0.149,0.851,0.0,0.4215
men T101,0.0,1.0,0.0,0.0
men T102,0.0,1.0,0.0,0.0
men T103,0.101,0.73,0.169,-0.296
men T104,0.0,0.766,0.234,-0.6369
men T105,0.0,1.0,0.0,0.0
men T106,0.0,1.0,0.0,0.0
men T107,0.0,1.0,0.0,0.0
men T108,0.347,0.578,0.075,0.8573
men T109,0.268,0.596,0.136,0.2714
men T110,0.429,0.571,0.0,0.9009
men T111,0.216,0.784,0.0,0.5106
men T112,0.091,0.909,0.0,0.3182
men T113,0.0,1.0,0.0,0.0
men T114,0.0,0.619,0.381,-0.5719
men T115,0.0,1.0,0.0,0.0
men T116,0.0,1.0,0.0,0.0
men T117,0.101,0.774,0.125,-0.1779
men T118,0.156,0.742,0.102,0.34
men T119,0.0,1.0,0.0,0.0
men T120,0.1,0.517,0.384,-0.8271
men T121,0.235,0.626,0.138,0.4466
men T122,0.0,1.0,0.0,0.0
men T123,0.0,1.0,0.0,0.0
men T124,0.309,0.58,0.111,0.6229
men T125,0.161,0.667,0.172,-0.0516
men T126,0.0,0.428,0.572,-0.7701
men T127,0.0,1.0,0.0,0.0
men T128,0.462,0.538,0.0,0.7184
men T129,0.084,0.817,0.099,-0.0772
men T130,0.0,0.842,0.158,-0.4939
men T131,0.0,1.0,0.0,0.0
men T132,0.15,0.85,0.0,0.4019
men T133,0.0,1.0,0.0,0.0
men T134,0.0,1.0,0.0,0.0
men T135,0.0,1.0,0.0,0.0
men T136,0.231,0.769,0.0,0.2732
men T137,0.0,1.0,0.0,0.0
men T138,0.245,0.755,0.0,0.3818
men T139,0.0,0.905,0.095,-0.2732
men T140,0.0,0.467,0.533,-0.8402
men T141,0.0,1.0,0.0,0.0
men T142,0.0,0.769,0.231,-0.6249
men T143,0.155,0.845,0.0,0.296
men T144,0.182,0.818,0.0,0.4404
men T145,0.0,0.902,0.098,-0.0772
men T146,0.278,0.722,0.0,0.6124
men T147,0.167,0.833,0.0,0.34
men T148,0.303,0.697,0.0,0.7506
men T149,0.0,0.722,0.278,-0.6416
men T150,0.253,0.361,0.386,-0.2732
men T151,0.0,1.0,0.0,0.0
men T152,0.0,1.0,0.0,0.0
men T153,0.0,1.0,0.0,0.0
men T154,0.0,0.0,0.0,0.0
men T155,0.225,0.775,0.0,0.5413
men T156,0.0,1.0,0.0,0.0
men T157,0.0,1.0,0.0,0.0
men T158,0.0,0.806,0.194,-0.6249
men T159,0.0,1.0,0.0,0.0
men T160,0.119,0.564,0.318,-0.7717
men T161,0.0,0.82,0.18,-0.6597
men T162,0.302,0.698,0.0,0.5994
men T163,0.0,0.694,0.306,-0.296
men T164,0.28,0.72,0.0,0.8476
men T165,0.0,1.0,0.0,0.0
men T166,0.0,1.0,0.0,0.0
men T167,0.0,1.0,0.0,0.0
men T168,0.0,1.0,0.0,0.0
men T169,0.0,1.0,0.0,0.0
men T170,0.0,0.827,0.173,-0.3182
men T171,0.185,0.815,0.0,0.3612
men T172,0.0,1.0,0.0,0.0
men T173,0.236,0.418,0.346,-0.4404
men T174,0.367,0.633,0.0,0.4404
men T175,0.0,0.8,0.2,-0.5423
men T176,0.092,0.746,0.162,-0.3818
men T177,0.233,0.767,0.0,0.5023
men T178,0.232,0.768,0.0,0.6623
men T179,0.0,1.0,0.0,0.0
men T180,0.0,1.0,0.0,0.0
men T181,0.0,0.213,0.787,-0.5719
men T182,0.0,1.0,0.0,0.0
men T183,0.0,1.0,0.0,0.0
men T184,0.0,1.0,0.0,0.0
men T185,0.0,1.0,0.0,0.0
men T186,0.171,0.699,0.131,0.0087
men T187,0.0,0.909,0.091,-0.0772
men T188,0.0,0.68,0.32,-0.3291
men T189,0.0,1.0,0.0,0.0
men T190,0.0,1.0,0.0,0.0
men T191,0.0,1.0,0.0,0.0
men T192,0.0,0.757,0.243,-0.7269
men T193,0.0,0.864,0.136,-0.4588
men T194,0.0,1.0,0.0,0.0
men T195,0.323,0.677,0.0,0.7964
men T196,0.31,0.565,0.125,0.5574
men T197,0.0,0.8,0.2,-0.6124
men T198,0.0,1.0,0.0,0.0
men T199,0.2,0.8,0.0,0.6946
men T0,0.84,0.16,0.0,0.9928
mgtow T1,0.0,0.833,0.167,-0.4215
mgtow T2,0.0,1.0,0.0,0.0
mgtow T3,0.0,0.645,0.355,-0.296
mgtow T4,0.0,1.0,0.0,0.0
mgtow T5,0.0,1.0,0.0,0.0
mgtow T6,0.0,1.0,0.0,0.0
mgtow T7,0.0,1.0,0.0,0.0
mgtow T8,0.0,1.0,0.0,0.0
mgtow T9,0.247,0.651,0.102,0.2732
mgtow T10,0.0,0.804,0.196,-0.296
mgtow T11,0.0,1.0,0.0,0.0
mgtow T12,0.162,0.838,0.0,0.4019
mgtow T13,0.0,1.0,0.0,0.0
mgtow T14,0.0,1.0,0.0,0.0
mgtow T15,0.0,1.0,0.0,0.0
mgtow T16,0.0,1.0,0.0,0.0
mgtow T17,0.0,0.845,0.155,-0.296
mgtow T18,0.0,1.0,0.0,0.0
mgtow T19,0.0,1.0,0.0,0.0
mgtow T20,0.0,1.0,0.0,0.0
mgtow T21,0.0,1.0,0.0,0.0
mgtow T22,0.0,1.0,0.0,0.0
mgtow T23,0.0,1.0,0.0,0.0
mgtow T24,0.0,1.0,0.0,0.0
mgtow T25,0.0,1.0,0.0,0.0
mgtow T26,0.0,1.0,0.0,0.0
mgtow T27,0.0,0.901,0.099,-0.296
mgtow T28,0.0,0.901,0.099,-0.296
mgtow T29,0.0,1.0,0.0,0.0
mgtow T30,0.0,0.891,0.109,-0.296
mgtow T31,0.0,0.855,0.145,-0.296
mgtow T32,0.0,1.0,0.0,0.0
mgtow T33,0.0,1.0,0.0,0.0
mgtow T34,0.0,1.0,0.0,0.0
mgtow T35,0.0,0.773,0.227,-0.5267
mgtow T36,0.0,0.864,0.136,-0.296
mgtow T37,0.0,1.0,0.0,0.0
mgtow T38,0.213,0.787,0.0,0.5574
mgtow T39,0.0,0.872,0.128,-0.4215
mgtow T40,0.0,1.0,0.0,0.0
mgtow T41,0.0,0.732,0.268,-0.7065
mgtow T42,0.0,1.0,0.0,0.0
mgtow T43,0.0,1.0,0.0,0.0
mgtow T44,0.0,1.0,0.0,0.0
mgtow T45,0.0,1.0,0.0,0.0
mgtow T46,0.0,1.0,0.0,0.0
mgtow T47,0.0,1.0,0.0,0.0
mgtow T48,0.0,1.0,0.0,0.0
mgtow T49,0.0,1.0,0.0,0.0
mgtow T50,0.0,1.0,0.0,0.0
mgtow T51,0.0,1.0,0.0,0.0
mgtow T52,0.0,1.0,0.0,0.0
mgtow T53,0.0,0.879,0.121,-0.296
mgtow T54,0.497,0.503,0.0,0.7125
mgtow T55,0.245,0.545,0.209,0.1027
mgtow T56,0.0,1.0,0.0,0.0
mgtow T57,0.0,0.794,0.206,-0.5267
mgtow T58,0.0,0.885,0.115,-0.296
mgtow T59,0.0,1.0,0.0,0.0
mgtow T60,0.188,0.812,0.0,0.5267
mgtow T61,0.0,1.0,0.0,0.0
mgtow T62,0.0,1.0,0.0,0.0
mgtow T63,0.0,0.855,0.145,-0.296
mgtow T64,0.0,0.885,0.115,-0.296
mgtow T65,0.094,0.82,0.086,0.0516
mgtow T66,0.0,1.0,0.0,0.0
mgtow T67,0.231,0.769,0.0,0.4019
mgtow T68,0.0,1.0,0.0,0.0
mgtow T69,0.0,0.676,0.324,-0.8442
mgtow T70,0.0,1.0,0.0,0.0
mgtow T71,0.0,1.0,0.0,0.0
mgtow T72,0.0,0.885,0.115,-0.296
mgtow T73,0.0,0.806,0.194,-0.5574
mgtow T74,0.0,1.0,0.0,0.0
mgtow T75,0.0,1.0,0.0,0.0
mgtow T76,0.677,0.323,0.0,0.6369
mgtow T77,0.0,1.0,0.0,0.0
mgtow T78,0.0,1.0,0.0,0.0
mgtow T79,0.101,0.616,0.283,-0.6299
mgtow T80,0.0,1.0,0.0,0.0
mgtow T81,0.0,1.0,0.0,0.0
mgtow T82,0.0,1.0,0.0,0.0
mgtow T83,0.0,1.0,0.0,0.0
mgtow T84,0.0,0.833,0.167,-0.296
mgtow T85,0.0,1.0,0.0,0.0
mgtow T86,0.0,1.0,0.0,0.0
mgtow T87,0.0,0.761,0.239,-0.296
mgtow T88,0.0,1.0,0.0,0.0
mgtow T89,0.118,0.69,0.192,-0.128
mgtow T90,0.0,0.668,0.332,-0.608
mgtow T91,0.0,0.739,0.261,-0.6486
mgtow T92,0.0,1.0,0.0,0.0
mgtow T93,0.136,0.798,0.066,0.3612
mgtow T94,0.0,1.0,0.0,0.0
mgtow T95,0.0,1.0,0.0,0.0
mgtow T96,0.219,0.781,0.0,0.6369
mgtow T97,0.098,0.902,0.0,0.34
mgtow T98,0.0,1.0,0.0,0.0
mgtow T99,0.123,0.593,0.284,-0.5859
mgtow T100,0.0,1.0,0.0,0.0
mgtow T101,0.0,1.0,0.0,0.0
mgtow T102,0.187,0.813,0.0,0.3182
mgtow T103,0.0,1.0,0.0,0.0
mgtow T104,0.179,0.744,0.077,0.3291
mgtow T105,0.474,0.526,0.0,0.4019
mgtow T106,0.0,1.0,0.0,0.0
mgtow T107,0.069,0.635,0.295,-0.6901
mgtow T108,0.0,1.0,0.0,0.0
mgtow T109,0.0,1.0,0.0,0.0
mgtow T110,0.0,1.0,0.0,0.0
mgtow T111,0.0,1.0,0.0,0.0
mgtow T112,0.0,1.0,0.0,0.0
mgtow T113,0.0,1.0,0.0,0.0
mgtow T114,0.0,0.0,0.0,0.0
mgtow T115,0.0,1.0,0.0,0.0
mgtow T116,0.0,1.0,0.0,0.0
mgtow T117,0.0,1.0,0.0,0.0
mgtow T118,0.0,0.82,0.18,-0.296
mgtow T119,0.0,1.0,0.0,0.0
mgtow T120,0.203,0.797,0.0,0.4215
mgtow T121,0.0,1.0,0.0,0.0
mgtow T122,0.0,1.0,0.0,0.0
mgtow T123,0.147,0.853,0.0,0.2263
mgtow T124,0.0,1.0,0.0,0.0
mgtow T125,0.0,1.0,0.0,0.0
mgtow T126,0.0,1.0,0.0,0.0
mgtow T127,0.0,1.0,0.0,0.0
mgtow T128,0.0,1.0,0.0,0.0
mgtow T129,0.0,0.862,0.138,-0.3736
mgtow T130,0.0,1.0,0.0,0.0
mgtow T131,0.0,1.0,0.0,0.0
mgtow T132,0.0,0.842,0.158,-0.4939
mgtow T133,0.0,0.855,0.145,-0.296
mgtow T134,0.6,0.4,0.0,0.4588
mgtow T135,0.0,1.0,0.0,0.0
mgtow T136,0.0,0.896,0.104,-0.296
mgtow T137,0.0,1.0,0.0,0.0
mgtow T138,0.0,0.876,0.124,-0.3412
mgtow T139,0.0,0.879,0.121,-0.296
mgtow T140,0.0,1.0,0.0,0.0
mgtow T141,0.0,1.0,0.0,0.0
mgtow T142,0.0,1.0,0.0,0.0
mgtow T143,0.277,0.723,0.0,0.3182
mgtow T144,0.0,1.0,0.0,0.0
mgtow T145,0.0,1.0,0.0,0.0
mgtow T146,0.0,1.0,0.0,0.0
mgtow T147,0.0,1.0,0.0,0.0
mgtow T148,0.0,1.0,0.0,0.0
mgtow T149,0.0,0.798,0.202,-0.368
mgtow T150,0.0,1.0,0.0,0.0
mgtow T151,0.0,1.0,0.0,0.0
mgtow T152,0.0,1.0,0.0,0.0
mgtow T153,0.0,0.87,0.13,-0.4019
mgtow T154,0.0,1.0,0.0,0.0
mgtow T155,0.0,1.0,0.0,0.0
mgtow T156,0.0,1.0,0.0,0.0
mgtow T157,0.0,1.0,0.0,0.0
mgtow T158,0.0,0.927,0.073,-0.128
mgtow T159,0.0,1.0,0.0,0.0
mgtow T160,0.0,1.0,0.0,0.0
mgtow T161,0.0,1.0,0.0,0.0
mgtow T162,0.0,1.0,0.0,0.0
mgtow T163,0.112,0.888,0.0,0.34
mgtow T164,0.0,1.0,0.0,0.0
mgtow T165,0.0,0.854,0.146,-0.34
mgtow T166,0.0,1.0,0.0,0.0
mgtow T167,0.0,1.0,0.0,0.0
mgtow T168,0.0,1.0,0.0,0.0
mgtow T169,0.328,0.672,0.0,0.5267
mgtow T170,0.107,0.701,0.192,-0.4215
mgtow T171,0.0,1.0,0.0,0.0
mgtow T172,0.0,1.0,0.0,0.0
mgtow T173,0.0,1.0,0.0,0.0
mgtow T174,0.0,1.0,0.0,0.0
mgtow T175,0.0,1.0,0.0,0.0
mgtow T176,0.0,1.0,0.0,0.0
mgtow T177,0.0,1.0,0.0,0.0
mgtow T178,0.0,1.0,0.0,0.0
mgtow T179,0.0,0.741,0.259,-0.5996
mgtow T180,0.0,1.0,0.0,0.0
mgtow T181,0.381,0.619,0.0,0.6504
mgtow T182,0.167,0.833,0.0,0.34
mgtow T183,0.0,1.0,0.0,0.0
mgtow T184,0.0,0.816,0.184,-0.4019
mgtow T185,0.0,1.0,0.0,0.0
mgtow T186,0.0,1.0,0.0,0.0
mgtow T187,0.0,1.0,0.0,0.0
mgtow T188,0.0,1.0,0.0,0.0
mgtow T189,0.0,1.0,0.0,0.0
mgtow T190,0.0,0.887,0.113,-0.3182
mgtow T191,0.0,1.0,0.0,0.0
mgtow T192,0.0,1.0,0.0,0.0
mgtow T193,0.0,1.0,0.0,0.0
mgtow T194,0.167,0.833,0.0,0.34
mgtow T195,0.0,1.0,0.0,0.0
mgtow T196,0.0,1.0,0.0,0.0
mgtow T197,0.0,0.621,0.379,-0.7717
mgtow T198,0.0,1.0,0.0,0.0
mgtow T199,0.0,1.0,0.0,0.0
mgtow T0,0.0,1.0,0.0,0.0
dudes T1,0.141,0.61,0.249,-0.3182
dudes T2,0.483,0.517,0.0,0.4215
dudes T3,0.0,1.0,0.0,0.0
dudes T4,0.0,1.0,0.0,0.0
dudes T5,0.0,0.931,0.069,-0.1779
dudes T6,0.0,1.0,0.0,0.0
dudes T7,0.107,0.893,0.0,0.2023
dudes T8,0.194,0.704,0.102,0.3818
dudes T9,0.0,1.0,0.0,0.0
dudes T10,0.093,0.659,0.248,-0.6124
dudes T11,0.287,0.713,0.0,0.5302
dudes T12,0.0,0.448,0.552,-0.8705
dudes T13,0.0,1.0,0.0,0.0
dudes T14,0.269,0.538,0.194,0.1027
