trial,Pos.,Neu.,Neg.,Summary
Susan Kare T125,0.0,1.0,0.0,0.0
Susan Kare T126,0.0,1.0,0.0,0.0
Susan Kare T127,0.0,0.756,0.244,-0.6705
Susan Kare T128,0.108,0.892,0.0,0.3182
Susan Kare T129,0.0,1.0,0.0,0.0
Susan Kare T130,0.2,0.8,0.0,0.4588
Susan Kare T131,0.0,1.0,0.0,0.0
Susan Kare T132,0.0,1.0,0.0,0.0
Susan Kare T133,0.219,0.781,0.0,0.6369
Susan Kare T134,0.0,1.0,0.0,0.0
Susan Kare T135,0.0,1.0,0.0,0.0
Susan Kare T136,0.0,1.0,0.0,0.0
Susan Kare T137,0.0,1.0,0.0,0.0
Susan Kare T138,0.0,0.756,0.244,-0.6705
Susan Kare T139,0.108,0.892,0.0,0.3182
Susan Kare T140,0.0,1.0,0.0,0.0
Susan Kare T141,0.2,0.8,0.0,0.4588
Susan Kare T142,0.0,1.0,0.0,0.0
Susan Kare T143,0.0,1.0,0.0,0.0
Susan Kare T144,0.219,0.781,0.0,0.6369
Susan Kare T145,0.0,1.0,0.0,0.0
Susan Kare T146,0.0,1.0,0.0,0.0
Susan Kare T147,0.0,1.0,0.0,0.0
Susan Kare T148,0.0,1.0,0.0,0.0
Susan Kare T149,0.0,0.756,0.244,-0.6705
Susan Kare T0,0.108,0.892,0.0,0.3182
Melinda Gates T1,0.0,1.0,0.0,0.0
Melinda Gates T2,0.0,1.0,0.0,0.0
Melinda Gates T3,0.0,1.0,0.0,0.0
Melinda Gates T4,0.0,0.776,0.224,-0.6369
Melinda Gates T5,0.0,0.875,0.125,-0.25
Melinda Gates T6,0.108,0.606,0.286,-0.6249
Melinda Gates T7,0.0,0.872,0.128,-0.296
Melinda Gates T8,0.0,0.718,0.282,-0.6705
Melinda Gates T9,0.309,0.691,0.0,0.6671
Melinda Gates T10,0.0,0.878,0.122,-0.3612
Melinda Gates T11,0.0,1.0,0.0,0.0
Melinda Gates T12,0.0,0.864,0.136,-0.296
Melinda Gates T13,0.0,0.0,0.0,0.0
Melinda Gates T14,0.152,0.707,0.141,0.0516
Melinda Gates T15,0.0,1.0,0.0,0.0
Melinda Gates T16,0.0,0.6,0.4,-0.6868
Melinda Gates T17,0.0,1.0,0.0,0.0
Melinda Gates T18,0.0,0.769,0.231,-0.2732
Melinda Gates T19,0.0,1.0,0.0,0.0
Melinda Gates T20,0.0,0.748,0.252,-0.5719
Melinda Gates T21,0.0,1.0,0.0,0.0
Melinda Gates T22,0.2,0.561,0.239,-0.1613
Melinda Gates T23,0.0,1.0,0.0,0.0
Melinda Gates T24,0.0,0.81,0.19,-0.6908
Melinda Gates T25,0.0,1.0,0.0,0.0
Melinda Gates T26,0.0,0.896,0.104,-0.1027
Melinda Gates T27,0.0,1.0,0.0,0.0
Melinda Gates T28,0.0,1.0,0.0,0.0
Melinda Gates T29,0.0,1.0,0.0,0.0
Melinda Gates T30,0.0,0.867,0.133,-0.3818
Melinda Gates T31,0.0,1.0,0.0,0.0
Melinda Gates T32,0.0,1.0,0.0,0.0
Melinda Gates T33,0.0,1.0,0.0,0.0
Melinda Gates T34,0.112,0.888,0.0,0.2263
Melinda Gates T35,0.0,0.861,0.139,-0.2732
Melinda Gates T36,0.0,0.741,0.259,-0.6808
Melinda Gates T37,0.219,0.566,0.215,0.0202
Melinda Gates T38,0.0,1.0,0.0,0.0
Melinda Gates T39,0.242,0.604,0.154,0.2885
Melinda Gates T40,0.0,0.874,0.126,-0.3182
Melinda Gates T41,0.0,0.811,0.189,-0.5307
Melinda Gates T42,0.0,0.73,0.27,-0.5719
Melinda Gates T43,0.0,1.0,0.0,0.0
Melinda Gates T44,0.0,0.938,0.062,-0.1027
Melinda Gates T45,0.081,0.919,0.0,0.128
Melinda Gates T46,0.292,0.708,0.0,0.7639
Melinda Gates T47,0.0,0.551,0.449,-0.9332
Melinda Gates T48,0.0,0.79,0.21,-0.1511
Melinda Gates T49,0.0,1.0,0.0,0.0
Melinda Gates T50,0.0,0.748,0.252,-0.5719
Melinda Gates T51,0.0,1.0,0.0,0.0
Melinda Gates T52,0.0,1.0,0.0,0.0
Melinda Gates T53,0.0,1.0,0.0,0.0
Melinda Gates T54,0.0,1.0,0.0,0.0
Melinda Gates T55,0.0,1.0,0.0,0.0
Melinda Gates T56,0.0,1.0,0.0,0.0
Melinda Gates T57,0.0,0.679,0.321,-0.6932
Melinda Gates T58,0.0,0.867,0.133,-0.3818
Melinda Gates T59,0.0,1.0,0.0,0.0
Melinda Gates T60,0.0,1.0,0.0,0.0
Melinda Gates T61,0.0,1.0,0.0,0.0
Melinda Gates T62,0.0,0.943,0.057,-0.1027
Melinda Gates T63,0.095,0.905,0.0,0.2263
Melinda Gates T64,0.0,0.766,0.234,-0.6369
Melinda Gates T65,0.688,0.312,0.0,0.296
Melinda Gates T66,0.0,0.769,0.231,-0.2732
Melinda Gates T67,0.0,1.0,0.0,0.0
Melinda Gates T68,0.0,1.0,0.0,0.0
Melinda Gates T69,0.0,1.0,0.0,0.0
Melinda Gates T70,0.0,1.0,0.0,0.0
Melinda Gates T71,0.051,0.949,0.0,0.0772
Melinda Gates T72,0.0,1.0,0.0,0.0
Melinda Gates T73,0.0,1.0,0.0,0.0
Melinda Gates T74,0.248,0.752,0.0,0.5106
Melinda Gates T75,0.0,1.0,0.0,0.0
Melinda Gates T76,0.272,0.728,0.0,0.5773
Melinda Gates T77,0.0,0.851,0.149,-0.2732
Melinda Gates T78,0.0,1.0,0.0,0.0
Melinda Gates T79,0.144,0.856,0.0,0.4939
Melinda Gates T80,0.0,1.0,0.0,0.0
Melinda Gates T81,0.0,0.778,0.222,-0.5719
Melinda Gates T82,0.0,1.0,0.0,0.0
Melinda Gates T83,0.22,0.78,0.0,0.4767
Melinda Gates T84,0.0,1.0,0.0,0.0
Melinda Gates T85,0.0,0.921,0.079,-0.0516
Melinda Gates T86,0.0,1.0,0.0,0.0
Melinda Gates T87,0.0,1.0,0.0,0.0
Melinda Gates T88,0.0,1.0,0.0,0.0
Melinda Gates T89,0.101,0.899,0.0,0.2263
Melinda Gates T90,0.0,0.87,0.13,-0.2732
Melinda Gates T91,0.186,0.814,0.0,0.4939
Melinda Gates T92,0.0,1.0,0.0,0.0
Melinda Gates T93,0.0,1.0,0.0,0.0
Melinda Gates T94,0.0,1.0,0.0,0.0
Melinda Gates T95,0.0,0.764,0.236,-0.5719
Melinda Gates T96,0.438,0.562,0.0,0.5994
Melinda Gates T97,0.0,1.0,0.0,0.0
Melinda Gates T98,0.0,1.0,0.0,0.0
Melinda Gates T99,0.0,0.709,0.291,-0.5719
Melinda Gates T100,0.0,0.762,0.238,-0.6486
Melinda Gates T101,0.0,1.0,0.0,0.0
Melinda Gates T102,0.231,0.769,0.0,0.5106
Melinda Gates T103,0.24,0.76,0.0,0.7184
Melinda Gates T104,0.0,0.811,0.189,-0.4215
Melinda Gates T105,0.0,1.0,0.0,0.0
Melinda Gates T106,0.0,1.0,0.0,0.0
Melinda Gates T107,0.162,0.838,0.0,0.4404
Melinda Gates T108,0.0,0.789,0.211,-0.34
Melinda Gates T109,0.104,0.705,0.191,-0.2732
Melinda Gates T110,0.0,0.792,0.208,-0.2732
Melinda Gates T111,0.275,0.725,0.0,0.8225
Melinda Gates T112,0.0,0.933,0.067,-0.0572
Melinda Gates T113,0.0,1.0,0.0,0.0
Melinda Gates T114,0.0,0.763,0.237,-0.4767
Melinda Gates T115,0.111,0.707,0.182,-0.3384
Melinda Gates T116,0.0,1.0,0.0,0.0
Melinda Gates T117,0.0,0.813,0.187,-0.6808
Melinda Gates T118,0.0,1.0,0.0,0.0
Melinda Gates T119,0.112,0.788,0.1,0.0772
Melinda Gates T120,0.0,1.0,0.0,0.0
Melinda Gates T121,0.0,1.0,0.0,0.0
