trial,Pos.,Neu.,Neg.,Summary
women T1,0.0,1.0,0.0,0.0
women T2,0.0,0.617,0.383,-0.8519
women T3,0.0,1.0,0.0,0.0
women T4,0.116,0.704,0.18,-0.3147
women T5,0.347,0.486,0.167,0.3818
women T6,0.0,1.0,0.0,0.0
women T7,0.0,0.813,0.187,-0.3182
women T8,0.351,0.649,0.0,0.8831
women T9,0.3,0.593,0.107,0.5991
women T10,0.0,0.862,0.138,-0.1531
women T11,0.213,0.591,0.197,0.1027
women T12,0.0,0.866,0.134,-0.4767
women T13,0.0,1.0,0.0,0.0
women T14,0.0,1.0,0.0,0.0
women T15,0.115,0.885,0.0,0.296
women T16,0.0,0.621,0.379,-0.7992
women T17,0.401,0.473,0.126,0.7897
women T18,0.15,0.85,0.0,0.3164
women T19,0.273,0.727,0.0,0.6836
women T20,0.0,0.806,0.194,-0.6249
women T21,0.0,1.0,0.0,0.0
women T22,0.0,1.0,0.0,0.0
women T23,0.187,0.813,0.0,0.3182
women T24,0.636,0.364,0.0,0.8591
women T25,0.344,0.656,0.0,0.6361
women T26,0.0,1.0,0.0,0.0
women T27,0.0,0.721,0.279,-0.6996
women T28,0.0,1.0,0.0,0.0
women T29,0.0,1.0,0.0,0.0
women T30,0.0,0.794,0.206,-0.0772
women T31,0.0,1.0,0.0,0.0
women T32,0.0,1.0,0.0,0.0
women T33,0.184,0.816,0.0,0.5574
women T34,0.193,0.514,0.293,-0.235
women T35,0.0,1.0,0.0,0.0
women T36,0.0,0.614,0.386,-0.8761
women T37,0.286,0.714,0.0,0.7184
women T38,0.583,0.417,0.0,0.8118
women T39,0.0,0.833,0.167,-0.34
women T40,0.0,1.0,0.0,0.0
women T41,0.0,1.0,0.0,0.0
women T42,0.232,0.366,0.402,-0.34
women T43,0.0,1.0,0.0,0.0
women T44,0.0,1.0,0.0,0.0
women T45,0.0,1.0,0.0,0.0
women T46,0.0,0.777,0.223,-0.6808
women T47,0.143,0.857,0.0,0.25
women T48,0.0,1.0,0.0,0.0
women T49,0.0,1.0,0.0,0.0
women T50,0.0,1.0,0.0,0.0
women T51,0.148,0.57,0.281,-0.5413
women T52,0.0,0.891,0.109,-0.296
women T53,0.118,0.882,0.0,0.0516
women T54,0.294,0.706,0.0,0.3612
women T55,0.0,0.746,0.254,-0.5267
women T56,0.0,1.0,0.0,0.0
women T57,0.0,1.0,0.0,0.0
women T58,0.0,0.843,0.157,-0.4215
women T59,0.174,0.826,0.0,0.2732
women T60,0.343,0.387,0.27,0.3637
women T61,0.0,0.784,0.216,-0.6705
women T62,0.0,1.0,0.0,0.0
women T63,0.142,0.708,0.15,-0.0516
women T64,0.0,1.0,0.0,0.0
women T65,0.0,1.0,0.0,0.0
women T66,0.0,1.0,0.0,0.0
women T67,0.0,1.0,0.0,0.0
women T68,0.43,0.448,0.121,0.7845
women T69,0.091,0.909,0.0,0.1531
women T70,0.173,0.694,0.133,0.1779
women T71,0.094,0.615,0.291,-0.7269
women T72,0.108,0.681,0.212,-0.4118
women T73,0.124,0.876,0.0,0.34
women T74,0.0,0.52,0.48,-0.9485
women T75,0.0,0.816,0.184,-0.6199
women T76,0.0,1.0,0.0,0.0
women T77,0.0,1.0,0.0,0.0
women T78,0.224,0.776,0.0,0.3818
women T79,0.178,0.822,0.0,0.5994
women T80,0.0,0.561,0.439,-0.8555
