trial,Pos.,Neu.,Neg.,Summary
Sergey Brin T120,0.153,0.847,0.0,0.5319
Sergey Brin T121,0.0,1.0,0.0,0.0
Sergey Brin T122,0.0,1.0,0.0,0.0
Sergey Brin T123,0.159,0.841,0.0,0.5267
Sergey Brin T124,0.0,1.0,0.0,0.0
Sergey Brin T125,0.0,1.0,0.0,0.0
Sergey Brin T126,0.229,0.459,0.312,-0.2263
Sergey Brin T127,0.0,1.0,0.0,0.0
Sergey Brin T128,0.0,1.0,0.0,0.0
Sergey Brin T129,0.0,1.0,0.0,0.0
Sergey Brin T130,0.0,1.0,0.0,0.0
Sergey Brin T131,0.224,0.776,0.0,0.6369
Sergey Brin T132,0.0,1.0,0.0,0.0
Sergey Brin T133,0.0,1.0,0.0,0.0
Bill Gates T1,0.148,0.852,0.0,0.4795
Bill Gates T2,0.0,1.0,0.0,0.0
Bill Gates T3,0.0,1.0,0.0,0.0
Bill Gates T4,0.0,1.0,0.0,0.0
Bill Gates T5,0.0,1.0,0.0,0.0
Bill Gates T6,0.0,0.817,0.183,-0.5563
Bill Gates T7,0.0,1.0,0.0,0.0
Bill Gates T8,0.0,0.741,0.259,-0.6808
Bill Gates T9,0.0,0.759,0.241,-0.6597
Bill Gates T10,0.204,0.796,0.0,0.3182
Bill Gates T11,0.087,0.913,0.0,0.2263
Bill Gates T12,0.0,1.0,0.0,0.0
Bill Gates T13,0.273,0.585,0.142,0.4601
Bill Gates T14,0.0,1.0,0.0,0.0
Bill Gates T15,0.0,0.879,0.121,-0.3549
Bill Gates T16,0.241,0.759,0.0,0.5859
Bill Gates T17,0.0,0.9,0.1,-0.25
Bill Gates T18,0.0,0.0,0.0,0.0
Bill Gates T19,0.0,0.794,0.206,-0.6597
Bill Gates T20,0.67,0.33,0.0,0.7269
Bill Gates T21,0.0,1.0,0.0,0.0
Bill Gates T22,0.0,1.0,0.0,0.0
Bill Gates T23,0.0,0.644,0.356,-0.8074
Bill Gates T24,0.0,0.787,0.213,-0.6808
Bill Gates T25,0.0,0.588,0.412,-0.5423
Bill Gates T26,0.0,1.0,0.0,0.0
Bill Gates T27,0.299,0.701,0.0,0.7506
Bill Gates T28,0.0,1.0,0.0,0.0
Bill Gates T29,0.0,1.0,0.0,0.0
Bill Gates T30,0.0,1.0,0.0,0.0
Bill Gates T31,0.0,1.0,0.0,0.0
Bill Gates T32,0.0,1.0,0.0,0.0
Bill Gates T33,0.0,0.681,0.319,-0.6901
Bill Gates T34,0.117,0.726,0.157,0.0
Bill Gates T35,0.0,0.75,0.25,-0.7906
Bill Gates T36,0.0,1.0,0.0,0.0
Bill Gates T37,0.079,0.83,0.092,-0.0772
Bill Gates T38,0.0,1.0,0.0,0.0
Bill Gates T39,0.0,1.0,0.0,0.0
Bill Gates T40,0.0,1.0,0.0,0.0
Bill Gates T41,0.0,1.0,0.0,0.0
Bill Gates T42,0.0,0.857,0.143,-0.3612
Bill Gates T43,0.0,1.0,0.0,0.0
Bill Gates T44,0.0,0.795,0.205,-0.5994
Bill Gates T45,0.0,0.735,0.265,-0.6887
Bill Gates T46,0.13,0.87,0.0,0.4019
Bill Gates T47,0.0,1.0,0.0,0.0
Bill Gates T48,0.0,0.784,0.216,-0.5106
Bill Gates T49,0.0,1.0,0.0,0.0
Bill Gates T50,0.138,0.862,0.0,0.4939
Bill Gates T51,0.124,0.678,0.198,-0.3182
Bill Gates T52,0.0,1.0,0.0,0.0
Bill Gates T53,0.0,0.843,0.157,-0.4215
Bill Gates T54,0.0,1.0,0.0,0.0
Bill Gates T55,0.176,0.824,0.0,0.4939
Bill Gates T56,0.0,1.0,0.0,0.0
Bill Gates T57,0.0,1.0,0.0,0.0
Bill Gates T58,0.0,0.859,0.141,-0.4215
Bill Gates T59,0.101,0.899,0.0,0.2023
Bill Gates T60,0.0,1.0,0.0,0.0
Bill Gates T61,0.0,1.0,0.0,0.0
Bill Gates T62,0.0,1.0,0.0,0.0
Bill Gates T63,0.0,0.659,0.341,-0.6908
Bill Gates T64,0.0,1.0,0.0,0.0
Bill Gates T65,0.167,0.833,0.0,0.4939
Bill Gates T66,0.194,0.806,0.0,0.6249
Bill Gates T67,0.098,0.793,0.109,-0.0598
Bill Gates T68,0.0,0.597,0.403,-0.4019
Bill Gates T69,0.148,0.852,0.0,0.5106
Bill Gates T70,0.246,0.754,0.0,0.5994
