trial,Pos.,Neu.,Neg.,Summary
Susan Kare T1,0.16,0.84,0.0,0.2263
Susan Kare T2,0.178,0.763,0.059,0.4215
Susan Kare T3,0.0,1.0,0.0,0.0
Susan Kare T4,0.0,1.0,0.0,0.0
Susan Kare T5,0.0,1.0,0.0,0.0
Susan Kare T6,0.0,1.0,0.0,0.0
Susan Kare T7,0.0,0.756,0.244,-0.6705
Susan Kare T8,0.108,0.892,0.0,0.3182
Susan Kare T9,0.0,1.0,0.0,0.0
Susan Kare T10,0.2,0.8,0.0,0.4588
Melinda Gates T1,0.0,1.0,0.0,0.0
Melinda Gates T2,0.0,1.0,0.0,0.0
Melinda Gates T3,0.0,1.0,0.0,0.0
Melinda Gates T4,0.0,1.0,0.0,0.0
Melinda Gates T5,0.0,0.0,0.0,0.0
Melinda Gates T6,0.0,1.0,0.0,0.0
Melinda Gates T7,0.0,1.0,0.0,0.0
Melinda Gates T8,0.0,1.0,0.0,0.0
Melinda Gates T9,0.0,1.0,0.0,0.0
Melinda Gates T10,0.0,0.759,0.241,-0.6597
Melinda Gates T11,0.0,0.604,0.396,-0.6037
Melinda Gates T12,0.087,0.913,0.0,0.2263
Melinda Gates T13,0.0,1.0,0.0,0.0
Melinda Gates T14,0.176,0.611,0.214,-0.128
Melinda Gates T15,0.0,1.0,0.0,0.0
Melinda Gates T16,0.0,0.9,0.1,-0.25
Melinda Gates T17,0.388,0.517,0.095,0.7783
Melinda Gates T18,0.0,1.0,0.0,0.0
Melinda Gates T19,0.67,0.33,0.0,0.7269
Melinda Gates T20,0.16,0.729,0.111,0.2792
Melinda Gates T21,0.0,1.0,0.0,0.0
Melinda Gates T22,0.0,1.0,0.0,0.0
Melinda Gates T23,0.0,1.0,0.0,0.0
Melinda Gates T24,0.0,1.0,0.0,0.0
Melinda Gates T25,0.079,0.83,0.092,-0.0772
Melinda Gates T26,0.0,1.0,0.0,0.0
Melinda Gates T27,0.0,1.0,0.0,0.0
Melinda Gates T28,0.0,1.0,0.0,0.0
Melinda Gates T29,0.0,1.0,0.0,0.0
Melinda Gates T30,0.0,1.0,0.0,0.0
Melinda Gates T31,0.176,0.824,0.0,0.4939
Melinda Gates T32,0.0,1.0,0.0,0.0
Melinda Gates T33,0.101,0.899,0.0,0.2023
Melinda Gates T34,0.0,0.469,0.531,-0.7783
Melinda Gates T35,0.167,0.833,0.0,0.25
Melinda Gates T36,0.0,1.0,0.0,0.0
Melinda Gates T37,0.0,0.597,0.403,-0.4019
Melinda Gates T38,0.148,0.852,0.0,0.5106
Melinda Gates T39,0.0,1.0,0.0,0.0
Melinda Gates T40,0.0,1.0,0.0,0.0
Melinda Gates T41,0.0,0.837,0.163,-0.5106
Melinda Gates T42,0.237,0.763,0.0,0.6801
Melinda Gates T43,0.0,1.0,0.0,0.0
Melinda Gates T44,0.084,0.737,0.179,-0.4005
Melinda Gates T45,0.0,1.0,0.0,0.0
Melinda Gates T46,0.0,1.0,0.0,0.0
Melinda Gates T47,0.0,1.0,0.0,0.0
Melinda Gates T48,0.512,0.488,0.0,0.2732
Melinda Gates T49,0.0,1.0,0.0,0.0
Melinda Gates T50,0.0,0.764,0.236,-0.5719
Melinda Gates T51,0.0,1.0,0.0,0.0
Melinda Gates T52,0.0,1.0,0.0,0.0
Melinda Gates T53,0.0,1.0,0.0,0.0
Melinda Gates T54,0.0,1.0,0.0,0.0
Melinda Gates T55,0.107,0.816,0.077,0.1225
Melinda Gates T56,0.0,0.891,0.109,-0.296
Melinda Gates T57,0.0,1.0,0.0,0.0
Melinda Gates T58,0.0,1.0,0.0,0.0
Melinda Gates T59,0.355,0.645,0.0,0.296
Melinda Gates T60,0.0,1.0,0.0,0.0
Melinda Gates T61,0.0,1.0,0.0,0.0
Melinda Gates T62,0.0,1.0,0.0,0.0
Melinda Gates T63,0.0,1.0,0.0,0.0
Melinda Gates T64,0.0,1.0,0.0,0.0
Melinda Gates T65,0.139,0.861,0.0,0.5267
Melinda Gates T66,0.0,1.0,0.0,0.0
Melinda Gates T67,0.091,0.909,0.0,0.2263
Melinda Gates T68,0.0,0.918,0.082,-0.1779
Melinda Gates T69,0.0,1.0,0.0,0.0
Melinda Gates T70,0.0,1.0,0.0,0.0
Melinda Gates T71,0.0,1.0,0.0,0.0
